App_id,Name,Monthly_Flat_price,Monthly_per_user_price,Installs,Reviews,Avg Rating,Service Type,Security,Own By,Description,Product_urls
1212077,Time Reports,0,USD 0.30 per user (average),5452,108,3.0,"Jira Cloud,Jira Server,Jira Data Center",None,"Prime Timesheet, s.r.o","Flexible time tracking and reporting of time spent on Projects, Epics or Initiatives broken down by Days, Users or Issue Statuses",https://marketplace.atlassian.com/apps/1212077/time-reports?hosting=cloud&tab=overview
1211768,WBS Gantt-Chart for Jira, 2.50,USD 1.25 per user (average),5662,122,2.5,"Jira Cloud,Jira Server,Jira Data Center",None,"Ricksoft, Inc.",Visualize success! See your plans clearly with the Jira Gantt chart plugin designed for busy project management professionals,https://marketplace.atlassian.com/apps/1211768/wbs-gantt-chart-for-jira?hosting=cloud&tab=overview
1217809,Structure.Gantt - Planning at Scale,0,USD 0.80 per user (average),4591,24,3.5,"Jira Cloud,Jira Server,Jira Data Center",CLOUD FORTIFIED,ALM Works,"Visualize dependencies and timelines across large-scale projects with an adaptable, easy-to-use Gantt chart solution for Jira",https://marketplace.atlassian.com/apps/1217809/structure-gantt-planning-at-scale?hosting=cloud&tab=overview
1221748,Cost Tracker for Tempo Timesheets, 10.00,USD 1.75 per user (average),1889,20,3.0,Jira Cloud,CLOUD FORTIFIED,Tempo for JIRA,"Simple and effective project cost and revenue tracking for Tempo Timesheets, with clear cost management for projects and budgets",https://marketplace.atlassian.com/apps/1221748/cost-tracker-for-tempo-timesheets?hosting=cloud&tab=overview
1212652,Better Excel Exporter for Jira,0,0,2485,164,4.0,"Jira Server,Jira Data Center",None,Midori Global Consulting Kft.,"Full-blown native Excel exports, spreadsheet reports and Business Intelligence for Jira",https://marketplace.atlassian.com/apps/1212652/better-excel-exporter-for-jira?hosting=datacenter&tab=overview
1219732,Time in Status for Jira Cloud,0,USD 1.15 per user (average),937,39,3.5,Jira Cloud,None,SaaSJet,🏅The Must-Have Add-on for Status Duration Reporting in Jira Cloud,https://marketplace.atlassian.com/apps/1219732/time-in-status-for-jira-cloud?hosting=cloud&tab=overview
700473,Agile Poker for Jira - planning & estimation, 5.00,USD 2.50 per user (average),2103,91,4.0,"Jira Cloud,Jira Server,Jira Data Center",None,Spartez Software (an Appfire company),More than just a planning poker. App that offers several methods for accurate and convenient backlog estimations by Scrum Teams,https://marketplace.atlassian.com/apps/700473/agile-poker-for-jira-planning-estimation?hosting=cloud&tab=overview
1219292,Team Worklog Reports, 2.35,USD 0.35 per user (average),2280,35,3.5,Jira Cloud,None,Gebsun,Fast and easy worklog reports for your team,https://marketplace.atlassian.com/apps/1219292/team-worklog-reports?hosting=cloud&tab=overview
1211243,Timetracker - Time Tracking & Reporting, 2.50,USD 0.40 per user (average),1902,67,3.5,"Jira Cloud,Jira Server,Jira Data Center",None,Everit Kft.,Simple and easy time tracking for Jira with powerful timesheet and cost reporting,https://marketplace.atlassian.com/apps/1211243/timetracker-time-tracking-reporting?hosting=cloud&tab=overview
1211125,Automated Log Work for Jira, 5.00,USD 0.55 per user (average),2260,97,3.0,"Jira Cloud,Jira Server,Jira Data Center",None,Gebsun,Never enter worklogs manually again. Track time seamlessly and precisely,https://marketplace.atlassian.com/apps/1211125/automated-log-work-for-jira?hosting=cloud&tab=overview
1222150,Gantt Suite for Jira, 2.00,USD 1.00 per user (average),1651,10,4.0,"Jira Cloud,Jira Server,Jira Data Center",None,BrizoIT,Project visualization via Gantt chart. Tasks and resources planning. Easy to setup. Intuitive UI,https://marketplace.atlassian.com/apps/1222150/gantt-suite-for-jira?hosting=cloud&tab=overview
1218151,Capacity Tracker, 5.00,USD 0.50 per user (average),1460,26,3.5,"Jira Cloud,Jira Server,Jira Data Center",None,Inprowiser Engineering,"Manage your team workload, easily – For Scrum & Kanban",https://marketplace.atlassian.com/apps/1218151/capacity-tracker?hosting=cloud&tab=overview
1211499,Issue History Collector - See History, 1.25,USD 0.60 per user (average),1372,35,3.5,"Jira Cloud,Jira Server,Jira Data Center",None,Anova Apps (an Appfire company),"Jira ticket tracking & monitoring, bug tracking, export ticket history, project statistics, see history of issues",https://marketplace.atlassian.com/apps/1211499/issue-history-collector-see-history?hosting=cloud&tab=overview
1219213,Clockwork Automated Timesheets Pro, 5.00,USD 0.80 per user (average),991,36,4.0,Jira Cloud,None,HeroCoders,Easy and accurate time tracking. Log work automatically by issue status. Use reports to understand the tempo of your team’s work,https://marketplace.atlassian.com/apps/1219213/clockwork-automated-timesheets-pro?hosting=cloud&tab=overview
1211022,Links Hierarchy - Tracking & analytics for dependencies, 4.00,USD 0.40 per user (average),1247,24,3.5,"Jira Cloud,Jira Server,Jira Data Center",None,Marketplace Expert SL,"Sum up & Analytics for Epics, Sprints, and related Issues and Subtasks in an automatic, powerful, firendly and flexible way",https://marketplace.atlassian.com/apps/1211022/links-hierarchy-tracking-analytics-for-dependencies?hosting=cloud&tab=overview
1211040,My.com Calendar,0,0,731,258,4.0,Jira Server,None,My.com,Browse issues and create events in calendar format,https://marketplace.atlassian.com/apps/1211040/my-com-calendar?hosting=server&tab=overview
1223423,ProScheduler: Resource Planning & Project Management, 5.00,USD 1.00 per user (average),833,77,3.5,"Jira Cloud,Jira Server,Jira Data Center",None,DevSamurai,"Beautiful modern tool for resource management & project management. Visualize team's workload, project's tempo & Gantt timeline",https://marketplace.atlassian.com/apps/1223423/proscheduler-resource-planning-project-management?hosting=cloud&tab=overview
1221281,Async Poker - Remote Planning&Estimation, 3.00,USD 0.85 per user (average),699,39,4.0,Jira Cloud,None,Do Async,"Planning Poker for estimating your product backlog activities in an async method for collocated, distributed, remote Agile teams",https://marketplace.atlassian.com/apps/1221281/async-poker-remote-planning-estimation?hosting=cloud&tab=overview
1212626,WorklogPRO - Timesheets for Jira,0,0,687,30,4.0,"Jira Server,Jira Data Center",None,The Starware,Effective time tracking and reporting for Jira,https://marketplace.atlassian.com/apps/1212626/worklogpro-timesheets-for-jira?hosting=datacenter&tab=overview
1215495,Toggl Integration for Jira, 5.00,USD 1.50 per user (average),853,29,3.5,"Jira Cloud,Jira Server",None,Lizard Brain Atlassian Apps (an Appfire company),Toggl Integration for Jira — your integrated time tracking,https://marketplace.atlassian.com/apps/1215495/toggl-integration-for-jira?hosting=cloud&tab=overview
1210975,Calendar for Jira — Resource planning, 1.50,USD 0.50 per user (average),1067,84,2.5,"Jira Cloud,Jira Server,Jira Data Center",None,Teamlead,Display and plan one or all of your projects right in the Calendar and share it with your team. Switch between views during work,https://marketplace.atlassian.com/apps/1210975/calendar-for-jira-resource-planning?hosting=cloud&tab=overview
1213798,Timesheets for Jira, 10.00,USD 2.00 per user (average),570,36,3.5,"Jira Cloud,Jira Server,Jira Data Center",None,Bob Swift Atlassian Apps (an Appfire company),"Advanced Jira time tracking — powerful time reports, simple time entry, custom attributes, approval process, & Tempo integration",https://marketplace.atlassian.com/apps/1213798/timesheets-for-jira?hosting=cloud&tab=overview
1218221,💎 Feature Bundle for Jira Service Management, 5.00,USD 0.50 per user (average),236,22,3.5,"Jira Cloud,Jira Server,Jira Data Center",None,Appsvio,Extension hub for Jira Service Management projects,https://marketplace.atlassian.com/apps/1218221/feature-bundle-for-jira-service-management?hosting=cloud&tab=overview
1219429,Status & Progress Report Gadget for Jira, 1.00,USD 0.75 per user (average),707,8,4.0,"Jira Cloud,Jira Server,Jira Data Center",CLOUD FORTIFIED,Agilis LT,"Gain visibility into your project status & progress in a dashboard gadget. Sum up story points by user, sprint, epic or JQL filter",https://marketplace.atlassian.com/apps/1219429/status-progress-report-gadget-for-jira?hosting=cloud&tab=overview
1218137,Roll-Up Reports for Jira,0,0,933,18,3.0,Jira Cloud,None,Bob Swift Atlassian Apps (an Appfire company),"Roll-up Summary reports for Epics, Sprints, Fix Versions, Agile Boards and more",https://marketplace.atlassian.com/apps/1218137/roll-up-reports-for-jira?hosting=cloud&tab=overview
1210953,Stateoscope,0,0,669,12,3.5,"Jira Server,Jira Data Center",None,Snapbytes Limited (an Appfire company),All issue state history at a glance,https://marketplace.atlassian.com/apps/1210953/stateoscope?hosting=datacenter&tab=overview
1219470,Swanly - Project Portfolio Roadmaps & Teams Reports for Jira, 10.00,USD 1.50 per user (average),671,22,3.5,Jira Cloud,None,Jexo,"Jira portfolio project management roadmapping and reporting tool for epics, issues and release management + cross-project releases",https://marketplace.atlassian.com/apps/1219470/swanly-project-portfolio-roadmaps-teams-reports-for-jira?hosting=cloud&tab=overview
1220287,EpicTime for Jira - SumUp of Worklogs, 3.00,USD 0.30 per user (average),652,10,3.5,"Jira Cloud,Jira Server,Jira Data Center",None,Teamlead,Sum up the work logs of the tiniest child issues to the epic,https://marketplace.atlassian.com/apps/1220287/epictime-for-jira-sumup-of-worklogs?hosting=cloud&tab=overview
1213902,Filters Activity Stream, 4.00,USD 0.40 per user (average),395,19,4.0,"Jira Cloud,Jira Server,Jira Data Center",None,Ugubi.io,Streamline your activity feed with basic or JQL filter to see what matters most,https://marketplace.atlassian.com/apps/1213902/filters-activity-stream?hosting=cloud&tab=overview
1218655,Performance Objectives: Charts & Reports, 3.00,USD 1.00 per user (average),380,24,4.0,"Jira Cloud,Jira Server,Jira Data Center",CLOUD FORTIFIED,Nara Syst Ltd.,"Clear KPI, SLA and OKR reporting. Objective recognition of personal and team goals. Chart and pivot time tracking",https://marketplace.atlassian.com/apps/1218655/performance-objectives-charts-reports?hosting=cloud&tab=overview
1218173,Harvest Time Tracking by 42nd, 5.00,USD 0.50 per user (average),451,21,3.5,"Jira Cloud,Jira Server",None,42nd,Harvest powered time tracking right from issues in Jira,https://marketplace.atlassian.com/apps/1218173/harvest-time-tracking-by-42nd?hosting=cloud&tab=overview
1220908,Time in status | SLA | Timer | Stopwatch for Jira DC/Cloud, 3.00,USD 0.35 per user (average),491,5,4.0,"Jira Cloud,Jira Server,Jira Data Center",None,JiBrok,Tracking the time spent in different statuses. Allows you to solve a large number of scenarios using a set of functionality,https://marketplace.atlassian.com/apps/1220908/time-in-status-sla-timer-stopwatch-for-jira-dc-cloud?hosting=cloud&tab=overview
1216516,Worklogs Report, 5.00,USD 1.20 per user (average),466,11,3.5,"Jira Cloud,Jira Server,Jira Data Center",None,Colined,Smart tracking of logged hours and worklog comments,https://marketplace.atlassian.com/apps/1216516/worklogs-report?hosting=cloud&tab=overview
293,Jira Calendar Plugin,0,0,11564,111,3.0,Jira Server,None,Atlassian,The Jira Calendar Plugin shows issues and versions in a calendar format based on their due date,https://marketplace.atlassian.com/apps/293/jira-calendar-plugin?hosting=server&tab=overview
1210885,ictime TimeTracking & Reporting for Jira,0,0,326,29,3.5,Jira Server,None,Smadoa GmbH,"Easy, flexible time tracking, powerful reporting, and accounting for Jira",https://marketplace.atlassian.com/apps/1210885/ictime-timetracking-reporting-for-jira?hosting=server&tab=overview
1212049,Hide Time Tracking for Jira Server,0,0,511,18,3.0,"Jira Server,Jira Data Center",None,Gebsun,Hide time tracking information from external users,https://marketplace.atlassian.com/apps/1212049/hide-time-tracking-for-jira-server?hosting=datacenter&tab=overview
1221826,Status Time, 0.50,USD 0.65 per user (average),389,14,3.5,"Jira Cloud,Jira Server,Jira Data Center",None,Bloompeak,"Reports for time in status or assignee. Group statuses to get Lead time, Cycle time. Identify process bottlenecks and take actions",https://marketplace.atlassian.com/apps/1221826/status-time?hosting=cloud&tab=overview
1221332,"Clerk Invoices — Billing, Invoicing & Time Reports for Jira", 10.00,USD 2.00 per user (average),296,15,4.0,Jira Cloud,None,"Hello Clerk, Inc.",👏 Create invoices from Jira worklogs in a few clicks  🧐 Time and cost reports for clients  ✅ Find uninvoiced Jira hours,https://marketplace.atlassian.com/apps/1221332/clerk-invoices-billing-invoicing-time-reports-for-jira?hosting=cloud&tab=overview
1217495,Sprint Capacity Planning & Tracking, 4.00,USD 0.40 per user (average),510,17,3.0,"Jira Cloud,Jira Server,Jira Data Center",None,Add-On Experts Center,Plan your team and resources commitment for your sprint workload right in your agile scrum board,https://marketplace.atlassian.com/apps/1217495/sprint-capacity-planning-tracking?hosting=cloud&tab=overview
1219487,Simple Timesheet & Worklog Dashboard Gadget for Jira, 1.00,USD 0.75 per user (average),304,13,4.0,"Jira Cloud,Jira Server,Jira Data Center",CLOUD FORTIFIED,Agilis LT,"Gain visibility into your time tracking data with a dashboard gadget. View timesheets with hours logged by users, projects and etc",https://marketplace.atlassian.com/apps/1219487/simple-timesheet-worklog-dashboard-gadget-for-jira?hosting=cloud&tab=overview
1215652,Relative Time Converter,0,0,319,10,4.0,Jira Server,None,"MoroSystems, s.r.o.",Relative or explicit time? This converter allows you to display both values in the same time,https://marketplace.atlassian.com/apps/1215652/relative-time-converter?hosting=server&tab=overview
1220750,Clockwork Automated Timesheets Free,0,0,4339,47,4.0,Jira Cloud,None,HeroCoders,Easiest and precise time tracking. Never log work manually again. Overview your team or company worklogs with powerful reports,https://marketplace.atlassian.com/apps/1220750/clockwork-automated-timesheets-free?hosting=cloud&tab=overview
1219709,Rich Filters::Time Tracking Dashboards,0,0,373,3,4.0,"Jira Server,Jira Data Center",None,Qotilabs,Increase productivity with interactive dashboards & reports for timesheets & work logs,https://marketplace.atlassian.com/apps/1219709/rich-filters-time-tracking-dashboards?hosting=datacenter&tab=overview
1220726,Timeline for Jira, 0.70,USD 0.35 per user (average),536,3,2.5,"Jira Cloud,Jira Server",None,Doitbetter,"Timeline, Resource planning, Team capacity",https://marketplace.atlassian.com/apps/1220726/timeline-for-jira?hosting=cloud&tab=overview
1222624,Clockify: Time Tracking & Timesheet,0,0,5522,51,3.0,"Jira Cloud,Jira Server",None,COING,The only 100% FREE time tracking and timesheet app for Jira,https://marketplace.atlassian.com/apps/1222624/clockify-time-tracking-timesheet?hosting=cloud&tab=overview
1213605,Tracking & Estimation for Jira, 10.00,USD 1.00 per user (average),262,24,3.5,"Jira Cloud,Jira Server,Jira Data Center",None,ADWEB Software,Project Management Plugin with Role Based Time Tracking & Estimation Reports Aiding Over 66% Improved Working Efficiency,https://marketplace.atlassian.com/apps/1213605/tracking-estimation-for-jira?hosting=cloud&tab=overview
1220574,Agile Docs - Hierarchy for Jira, 10.00,USD 1.00 per user (average),369,8,3.0,Jira Cloud,None,Rhys Diab,"Visualise any project, release or filter in a tree. Extend Jira's default issue hierarchy. Report progress based on estimates",https://marketplace.atlassian.com/apps/1220574/agile-docs-hierarchy-for-jira?hosting=cloud&tab=overview
1216997,Report Builder, 5.00,USD 1.50 per user (average),199,25,4.0,"Jira Cloud,Jira Server,Jira Data Center",None,Actonic GmbH,Report Builder covers all your Jira reporting needs. Create any report imaginable with the fastest reporting tool on the market,https://marketplace.atlassian.com/apps/1216997/report-builder?hosting=cloud&tab=overview
1219703,Time Tracking & Estimation Report Dashboard Gadget for Jira, 1.00,USD 0.60 per user (average),289,5,4.0,"Jira Cloud,Jira Server,Jira Data Center",CLOUD FORTIFIED,Agilis LT,"Get better at time estimation - compare time spent, remaining estimate & original estimate. View progress in a dashboard gadget",https://marketplace.atlassian.com/apps/1219703/time-tracking-estimation-report-dashboard-gadget-for-jira?hosting=cloud&tab=overview
1223200,"Agile Tools-Epic Tree, Links Tree, Time in Status & Worklogs", 5.00,USD 0.65 per user (average),224,7,4.0,"Jira Cloud,Jira Server,Jira Data Center",None,RVS,"All in one add-on. Epic Sum up, Links Hierarchy with rolled up estimates, Multiple Time in Status reports, Worklogs & Timesheets",https://marketplace.atlassian.com/apps/1223200/agile-tools-epic-tree-links-tree-time-in-status-worklogs?hosting=cloud&tab=overview
1220227,Clockify Integration by Lizard Brain, 5.00,USD 0.75 per user (average),209,9,3.5,"Jira Cloud,Jira Server",None,Lizard Brain Atlassian Apps (an Appfire company),Clockify Integration for Jira — your integrated time tracking,https://marketplace.atlassian.com/apps/1220227/clockify-integration-by-lizard-brain?hosting=cloud&tab=overview
1218371,Project TimeLine, 10.00,USD 1.25 per user (average),188,11,3.5,"Jira Cloud,Jira Server,Jira Data Center",None,Nemetschek Bulgaria,"Get the overall picture of Multiple Projects on an Annual TimeLine, Plan, Track and Forecast",https://marketplace.atlassian.com/apps/1218371/project-timeline?hosting=cloud&tab=overview
1221297,"Planyway: Resource Planning, Project Roadmap, Time Tracking", 10.00,USD 2.00 per user (average),177,5,4.0,"Jira Cloud,Jira Data Center",None,Planyway for Jira,Gantt-like timeline to display your team workload and project portfolio in many ways,https://marketplace.atlassian.com/apps/1221297/planyway-resource-planning-project-roadmap-time-tracking?hosting=cloud&tab=overview
1212714,Miscellaneous Tracking for Jira,0,0,156,10,3.5,"Jira Server,Jira Data Center",None,ADWEB Software,Extended time logging for more than just Jira tasks. Time logging & reporting for everything else that's not part of a project,https://marketplace.atlassian.com/apps/1212714/miscellaneous-tracking-for-jira?hosting=datacenter&tab=overview
1218888,Simple Custom Reports & Charts for Jira, 1.00,USD 1.50 per user (average),200,3,4.0,"Jira Cloud,Jira Server,Jira Data Center",CLOUD FORTIFIED,Agilis LT,"Instantly create powerful, easy to use custom reports for kanban, scrum or any other teams with minimal configuration",https://marketplace.atlassian.com/apps/1218888/simple-custom-reports-charts-for-jira?hosting=cloud&tab=overview
5274,Time Tracking And Billing Reporting,0,0,169,13,3.0,"Jira Server,Jira Data Center",None,jPlugs,Affordable and comprehensive time tracking for Jira,https://marketplace.atlassian.com/apps/5274/time-tracking-and-billing-reporting?hosting=datacenter&tab=overview
1212891,Auto Plan Time for TEMPO,0,0,156,6,3.5,Jira Server,None,OBSS,Sync data between TEMPO calendars and Jira Issue fields,https://marketplace.atlassian.com/apps/1212891/auto-plan-time-for-tempo?hosting=server&tab=overview
1215177,AIM Resource Management for Jira,0,0,126,7,4.0,Jira Server,None,AIM - Agile IT Management,Straightforward and easy resource planning and transparency,https://marketplace.atlassian.com/apps/1215177/aim-resource-management-for-jira?hosting=server&tab=overview
1217919,Mobius Timesheet - Time Tracking Reports, 1.00,USD 0.45 per user (average),110,21,3.5,"Jira Cloud,Jira Server",None,Heckr,"View time spent by author, assignee, project, team, or any other Jira field available. Easy to use time logs and reports",https://marketplace.atlassian.com/apps/1217919/mobius-timesheet-time-tracking-reports?hosting=cloud&tab=overview
1219006,Crystal Gantt - for JIRA, 2.00,USD 0.30 per user (average),163,10,3.0,Jira Cloud,None,RadiantQ,Gantt Visualization for your Project for better Task and Resource Management,https://marketplace.atlassian.com/apps/1219006/crystal-gantt-for-jira?hosting=cloud&tab=overview
1213331,Epic Sum Up - Light,0,0,3116,35,2.5,"Jira Cloud,Jira Server",None,APTIS GmbH,Use epics as a project context and see all time spent in all containing issues,https://marketplace.atlassian.com/apps/1213331/epic-sum-up-light?hosting=cloud&tab=overview
1211628,Harvest Time Tracking (Official),0,0,2781,138,2.0,Jira Cloud,None,Harvest,Harvest powered time tracking right from issues in Jira,https://marketplace.atlassian.com/apps/1211628/harvest-time-tracking-official?hosting=cloud&tab=overview
1219258,Agile Dashboard for Project Management, 2.50,USD 0.40 per user (average),75,26,4.0,"Jira Cloud,Jira Server",None,SolDevelo,Manage your project smarter! Spot the challenges awaiting your team and use the knowledge to upgrade your work every day,https://marketplace.atlassian.com/apps/1219258/agile-dashboard-for-project-management?hosting=cloud&tab=overview
1218809,Quantify TimeSpent,0,0,1326,23,3.5,,None,Quantify Technologies Inc.,"Meet the lean time tracking approach, a better alternative to manual work logging. Solution for Capex, SRED, Agile KPIs and more",https://marketplace.atlassian.com/apps/1218809/quantify-timespent?hosting=cloud&tab=overview
1211118,Intelligent Reports,0,0,99,9,3.5,"Jira Server,Jira Data Center",None,Clarios Technology,"Create professional, custom Microsoft Word reports from your Jira data",https://marketplace.atlassian.com/apps/1211118/intelligent-reports?hosting=datacenter&tab=overview
1216636,Pulse Timesheet with Worklogs Gadget, 1.00,USD 0.20 per user (average),120,9,3.0,Jira Cloud,None,PulseKit,Smart Timesheet Report tool with dashboard gadget for your worklogs,https://marketplace.atlassian.com/apps/1216636/pulse-timesheet-with-worklogs-gadget?hosting=cloud&tab=overview
1226187,Time in Status Reports,0,0,101,3,4.0,Jira Cloud,None,RVS,Create reports for time in each status. Group statuses to define lead/cycle time. Identify process bottlenecks and take actions,https://marketplace.atlassian.com/apps/1226187/time-in-status-reports?hosting=cloud&tab=overview
1223727,Excel-like Tables for Jira, 1.50,USD 0.90 per user (average),141,3,3.5,Jira Cloud,None,"Ricksoft, Inc.",Making a spreadsheet on your issue is easier than ever. Filter/PivotTable/Sheet export are available,https://marketplace.atlassian.com/apps/1223727/excel-like-tables-for-jira?hosting=cloud&tab=overview
1217264,Log work as another user for Jira,0,0,147,4,3.0,"Jira Server,Jira Data Center",None,Sistel SL,Log work as another user and keep time tracking updated,https://marketplace.atlassian.com/apps/1217264/log-work-as-another-user-for-jira?hosting=server&tab=overview
1215632,xPort - Custom Worklog Export for Jira,0,0,104,4,4.0,Jira Server,None,Decadis AG,"Make the most out of Jira work logs - consolidate, enhance, extend and automatically export working times",https://marketplace.atlassian.com/apps/1215632/xport-custom-worklog-export-for-jira?hosting=server&tab=overview
1214286,Agile Remaining Estimate Counter, 8.00,USD 0.75 per user (average),97,8,3.5,"Jira Cloud,Jira Server,Jira Data Center",None,Rozdoum,Ensure your sprint commitments easily by monitoring correct remaining estimates right at Jira Agile Boards,https://marketplace.atlassian.com/apps/1214286/agile-remaining-estimate-counter?hosting=cloud&tab=overview
1222149,Team Worklog Reports Lite,0,0,1052,8,4.0,Jira Cloud,None,Gebsun,Discover work log data numbers via simple and powerfull reports,https://marketplace.atlassian.com/apps/1222149/team-worklog-reports-lite?hosting=cloud&tab=overview
1219348,Hours Reports (Work Log Time Reports), 5.00,USD 0.50 per user (average),130,4,3.0,Jira Cloud,None,Aneto Software,"Timesheets of logged hours by Employee, Project, Issue Type. Set up hourly rates, extract timesheets and spendings in Excel",https://marketplace.atlassian.com/apps/1219348/hours-reports-work-log-time-reports?hosting=cloud&tab=overview
1218992,Timesheet Export for Jira, 4.75,USD 0.55 per user (average),160,0,0.0,Jira Cloud,None,Wruff,"Time tracking spreadsheet exports for Excel & Google Drive, plus time tracking for next-gen projects",https://marketplace.atlassian.com/apps/1218992/timesheet-export-for-jira?hosting=cloud&tab=overview
1221840,Budgetizer, 4.00,USD 0.40 per user (average),68,8,4.0,Jira Cloud,None,Ugubi.io,Budgetizer is an expense tracker for visualizing issues cost in real time,https://marketplace.atlassian.com/apps/1221840/budgetizer?hosting=cloud&tab=overview
1222051,Status Time Free,0,0,1376,9,3.0,"Jira Cloud,Jira Server,Jira Data Center",None,Bloompeak,"Reports for time in status or assignee. Group statuses to get Lead time, Cycle time. Identify process bottlenecks and take actions",https://marketplace.atlassian.com/apps/1222051/status-time-free?hosting=cloud&tab=overview
1218582,Leave Tracker - Vacations & Sick Days Tracker for Jira Cloud, 10.00,USD 1.50 per user (average),88,6,3.5,Jira Cloud,None,Alty Inc.,Easily track your team members' 🏝 vacation days and 💊  sick leaves,https://marketplace.atlassian.com/apps/1218582/leave-tracker-vacations-sick-days-tracker-for-jira-cloud?hosting=cloud&tab=overview
1224927,"Capacity Planning, Time Tracking, Timesheets & Cost for Jira",0,0,721,25,4.0,Jira Cloud,None,DevSamurai,"Complete solution for Team management, time tracking, timesheet, vacation, calendar, timeline, report, cost & invoice management",https://marketplace.atlassian.com/apps/1224927/capacity-planning-time-tracking-timesheets-cost-for-jira?hosting=cloud&tab=overview
1219031,Simple Reports & Charts Lite for Jira,0,0,1486,6,3.0,Jira Cloud,None,Agilis LT,"Generate reports and charts in just a couple of clicks, no need for lengthy configuration",https://marketplace.atlassian.com/apps/1219031/simple-reports-charts-lite-for-jira?hosting=cloud&tab=overview
